Date,Open,High,Low,Close,Volume,Market_Cap,Tomorrow,Target
2023-03-04,22362.92302679091,22405.1769535758,22198.981009392606,22353.35007393068,11166012913.03,431607268094.04,22435.514196973487,1
2023-03-03,23476.63373125836,23479.34809376563,22213.23759376628,22362.6793319333,26062404610.39,431765463285.53,22353.35007393068,0
2023-03-02,23647.0194731298,23739.138076779185,23245.02143324024,23475.466737662264,20386398516.25,453226586695.74,22362.6793319333,0
2023-03-01,23150.92995817847,23880.63246286755,23088.62669990125,23646.549899144964,24662841199.56,456508161672.8,23475.466737662264,0
2023-02-28,23521.83882239489,23585.38406953924,23077.6503704068,23147.35338990846,20535363433.98,446846764116.35,23646.549899144964,1
2023-02-27,23561.450681524497,23857.891125262795,23205.879245350094,23522.871914506,22660763494.22,454075216419.73,23147.35338990846,0
2023-02-26,23174.15076871508,23654.3673746458,23084.221639724132,23561.212910916336,16644534841.91,454795165822.83,23522.871914506,0
2023-02-25,23200.125853429145,23210.211072334423,22861.558664814136,23175.375635842454,16100721565.07,447323985682.72,23561.212910916336,1
2023-02-24,23946.007863671563,24103.70448345668,23007.07132664495,23198.12748788315,26811744927.57,447747058643.64,23175.375635842454,0
2023-02-23,24190.71898354621,24572.08942145445,23693.919485258688,23947.49252317601,30476264066.0,462189287816.46,23198.12748788315,0
2023-02-22,24437.418479922784,24472.33975721861,23644.317715789413,24188.842976694308,30199996780.9,466821375594.42,23947.49252317601,0
2023-02-21,24833.0489142974,25126.851685722035,24200.36411633848,24436.35448457601,31252098713.68,471577656114.25,24188.842976694308,0
2023-02-20,24336.62334048212,25020.45951252541,23927.90925347349,24829.14756994915,28987376572.9,479132405758.14,24436.35448457601,0
2023-02-19,24640.02722142087,25093.05514954421,24327.641672282654,24327.641672282654,25555105669.92,469431477134.26,24829.14756994915,1
2023-02-18,24565.295999850918,24798.835570650936,24468.37363085885,24641.276948425817,19625427157.74,475459130854.86,24327.641672282654,0
2023-02-17,23621.282494263785,24924.04006030843,23460.75602663125,24565.601988946677,41358451254.72,473972409615.04,24641.276948425817,1
2023-02-16,24307.350197799304,25134.11735019613,23602.522501390988,23623.474480806268,39316664596.38,455770787833.36,24565.601988946677,1
2023-02-15,22220.585338474528,24307.841328484352,22082.76908076793,24307.841328484352,32483312909.3,468947166603.22,23623.474480806268,0
2023-02-14,21801.823146444163,22293.140093450103,21632.393983859158,22220.80414369751,26792596580.6,428662088256.18,24307.841328484352,1
2023-02-13,21786.9992632743,21898.41383967569,21460.088503864437,21808.10177360093,23918742607.37,420678828415.31,22220.80414369751,1
2023-02-12,21870.902501849163,22060.99460655736,21682.828774706803,21788.203986260596,17821046405.57,420274300806.28,21808.10177360093,1
2023-02-11,21651.841862003555,21891.410562977795,21618.449727617524,21870.874064054547,16356226232.0,421847190488.29,21788.203986260596,0
2023-02-10,21819.006420404912,21941.185603316964,21539.39283051438,21651.183782936125,27078406593.87,417588395181.59,21870.874064054547,1
2023-02-09,22946.56551860676,22996.43751078374,21773.974614057337,21819.03991473652,32572572185.34,420806214870.32,21651.183782936125,0
2023-02-08,23263.415126044525,23367.95928740589,22731.09821330102,22939.39870068405,25371367757.61,442391167095.22,21819.03991473652,0
2023-02-07,22757.26754187948,23310.97507181696,22756.258276985336,23264.291187691557,27187964470.79,448636152158.08,22939.39870068405,0
2023-02-06,22954.021964172887,23119.27995032012,22692.02598404982,22760.109263300423,23825006541.98,438893838655.36,23264.291187691557,1
2023-02-05,23332.247600951167,23423.43561153853,22841.760312501065,22955.66601629744,19564262605.21,442642331535.6,22760.109263300423,0
2023-02-04,23446.320726972564,23556.94880508433,23291.795658887066,23331.84713709607,15639298538.02,449874457148.45,22955.66601629744,0
2023-02-03,23469.41250714004,23678.10257647552,23279.9557414819,23449.32162150656,27083066007.24,452119476083.72,23331.84713709607,0
2023-02-02,23720.82351727543,24167.210232201985,23468.59528255717,23471.870441279425,32066936882.0,452534728124.07,23449.32162150656,0
2023-02-01,23137.835136150523,23764.53929417068,22877.75065255435,23723.769653484665,26683255504.12,457370104397.91,23471.870441279425,0
2023-01-31,22840.796090600143,23225.02140388607,22765.56849944083,23139.283909912327,22837828665.18,446082285297.19,23723.769653484665,1
2023-01-30,23774.64896664247,23789.347177699183,22657.582167625576,22840.13890737995,27205595568.34,440298767854.8,23139.283909912327,1
2023-01-29,23031.4492355484,23919.8897614092,22985.0701306067,23774.56592331162,27423687259.16,458291157032.27,22840.13890737995,0
2023-01-28,23079.96433256669,23165.89588428708,22908.846464031027,23031.08977562008,14712928379.05,443936922524.46,23774.56592331162,1
2023-01-27,23030.717285647723,23417.72097245481,22654.59340843538,23078.727879912283,25383335641.41,444830940521.37,23031.08977562008,0
2023-01-26,23108.95448679744,23237.07716893849,22911.373351233604,23032.777598708428,26357839322.09,443923229458.15,23078.727879912283,1
2023-01-25,22639.26716752375,23722.09880874052,22406.07550242508,23117.85968190475,30685366708.98,445539806080.32,23032.777598708428,0
